date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:39	30138/30138	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:25:05%20GMT	https://preview.colorlib.com/theme/knuford/index.html	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/index-2.html	(from https://preview.colorlib.com/theme/knuford/)
18:22:48	759202/759202	---M--	200	added ('OK')	image/jpeg	etag:%22b95a2-5bb3f5ce3ca79%22	https://preview.colorlib.com/theme/knuford/images/bg_1.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/bg_1.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:48	275317/275317	---M--	200	added ('OK')	image/jpeg	etag:%2243375-5bb3f5c7f9282%22	https://preview.colorlib.com/theme/knuford/images/project-1.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/project-1.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:51	991373/991373	---M--	200	added ('OK')	image/jpeg	etag:%22f208d-5bb3f5cb5679a%22	https://preview.colorlib.com/theme/knuford/images/project-2.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/project-2.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:52	502795/502795	---M--	200	added ('OK')	image/jpeg	etag:%227ac0b-5bb3f5dbbf99b%22	https://preview.colorlib.com/theme/knuford/images/about.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/about.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:55	332732/332732	---M--	200	added ('OK')	image/jpeg	etag:%22513bc-5bb3f5c60b058%22	https://preview.colorlib.com/theme/knuford/images/project-4.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/project-4.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:57	1239245/1239245	---M--	200	added ('OK')	image/jpeg	etag:%2212e8cd-5bb3f5d00b8a4%22	https://preview.colorlib.com/theme/knuford/images/bg_3.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/bg_3.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:57	484405/484405	---M--	200	added ('OK')	image/jpeg	etag:%2276435-5bb3f5c829020%22	https://preview.colorlib.com/theme/knuford/images/project-5.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/project-5.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:57	693151/693151	---M--	200	added ('OK')	image/jpeg	etag:%22a939f-5bb3f5c44bc2d%22	https://preview.colorlib.com/theme/knuford/images/project-6.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/project-6.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:58	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-5bb3f5d5dfb60%22	https://preview.colorlib.com/theme/knuford/images/person_1.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/person_1.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:58	474310/474310	---M--	200	added ('OK')	image/jpeg	etag:%2273cc6-5bb3f5cbbb0f6%22	https://preview.colorlib.com/theme/knuford/images/project-3.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/project-3.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:59	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-5bb3f5d4d80ac%22	https://preview.colorlib.com/theme/knuford/images/person_2.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/person_2.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:59	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5bb3f5d28e1c6%22	https://preview.colorlib.com/theme/knuford/images/person_3.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/person_3.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:22:59	13176/13176	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:25:06%20GMT	https://preview.colorlib.com/theme/knuford/blog-single.html	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/blog-single.html	(from https://preview.colorlib.com/theme/knuford/)
18:23:01	106515/106515	---M--	200	added ('OK')	image/jpeg	etag:%221a013-5bb3f5d120e17%22	https://preview.colorlib.com/theme/knuford/images/image_3.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/image_3.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:23:02	91213/91213	---M--	200	added ('OK')	image/jpeg	etag:%221644d-5bb3f5d036822%22	https://preview.colorlib.com/theme/knuford/images/image_2.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/image_2.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:23:02	77695/77695	---M--	200	added ('OK')	image/jpeg	etag:%2212f7f-5bb3f5d3b3139%22	https://preview.colorlib.com/theme/knuford/images/image_4.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/image_4.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:23:03	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22666322ba-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:04	80821/80821	---M-Z	200	added ('OK')	application/javascript	etag:%2213bb5-5bb3f5e754694-gzip%22	https://preview.colorlib.com/theme/knuford/js/bootstrap.bundle.min.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/bootstrap.bundle.min.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:04	124413/124413	---M--	200	added ('OK')	image/jpeg	etag:%221e5fd-5bb3f5d54d3a6%22	https://preview.colorlib.com/theme/knuford/images/image_6.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/image_6.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:23:05	100605/100605	---M-Z	200	added ('OK')	application/javascript	etag:%22188fd-5bb3f5f05418b-gzip%22	https://preview.colorlib.com/theme/knuford/js/tiny-slider.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/tiny-slider.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:06	350245/350245	---M--	200	added ('OK')	image/jpeg	etag:%2255825-5bb3f5d2d8543%22	https://preview.colorlib.com/theme/knuford/images/image_1.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/image_1.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:23:06	135844/135844	---M--	200	added ('OK')	image/jpeg	etag:%22212a4-5bb3f5d4199d4%22	https://preview.colorlib.com/theme/knuford/images/image_5.jpg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/images/image_5.jpg	(from https://preview.colorlib.com/theme/knuford/)
18:23:06	54228/54228	---M-Z	200	added ('OK')	application/javascript	etag:%22d3d4-5bb3f5f32d94a-gzip%22	https://preview.colorlib.com/theme/knuford/js/glightbox.min.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/glightbox.min.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:06	14243/14243	---M-Z	200	added ('OK')	application/javascript	etag:%2237a3-5bb3f5f1ceffa-gzip%22	https://preview.colorlib.com/theme/knuford/js/aos.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/aos.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:07	1753/1753	---M-Z	200	added ('OK')	application/javascript	etag:%226d9-5bb3f5eb37847-gzip%22	https://preview.colorlib.com/theme/knuford/js/typewritter.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/typewritter.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:07	9476/9476	---M-Z	200	added ('OK')	application/javascript	etag:%222504-5bb3f5f241415-gzip%22	https://preview.colorlib.com/theme/knuford/js/slideNav.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/slideNav.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:08	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:%2279a-5bb3f5e757574-gzip%22	https://preview.colorlib.com/theme/knuford/js/google-map.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/google-map.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:09	4049/4049	---M-Z	200	added ('OK')	application/javascript	etag:%22fd1-5bb3f5e837f2a-gzip%22	https://preview.colorlib.com/theme/knuford/js/main.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/main.js	(from https://preview.colorlib.com/theme/knuford/)
18:23:09	4762/4762	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22129a-5bb3ff56be34e%22	https://preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.eot	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/knuford/css/flaticon.css)
18:23:10	4762/4762	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22129a-5bb3ff56be34e%22	https://preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.eot?	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/knuford/css/flaticon.css)
18:23:10	3160/3160	---M--	200	added ('OK')	font/woff	etag:%22c58-5bb3ff56bd3ae%22	https://preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.woff	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/knuford/css/flaticon.css)
18:23:11	4584/4584	---MCZ	200	added ('OK')	font/ttf	etag:W/%2211e8-5bb3ff57ad762%22	https://preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.ttf	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/knuford/css/flaticon.css)
18:23:12	21783/21783	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225517-5bb3ff5a30081%22	https://preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.svg	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/knuford/css/flaticon.css)
18:23:13	660/660	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jun%202024%2012:23:13%20GMT	https://preview.colorlib.com/theme/knuford/blog.html	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/blog.html	(from https://preview.colorlib.com/theme/knuford/blog-single.html)
18:23:13	4605/4605	---M-Z	200	added ('OK')	application/javascript	etag:%2211fd-5bb3f5e655880-gzip%22	https://preview.colorlib.com/theme/knuford/js/slideNav.min.js	B:/MD%20ALAUDDIN/mdalauddin/preview.colorlib.com/theme/knuford/js/slideNav.min.js	(from https://preview.colorlib.com/theme/knuford/blog-single.html)
